canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
fin_delta_noa,daily,,,,,[],OK
fin_diff,daily,,,,,[],OK
fin_discontinued_operation_ratio,daily,,,,,[],OK
fin_divergence,daily,,,,,[],OK
fin_earnings_cash_gap_volatility,daily,,,,,[],OK
fin_earnings_persistence,daily,,,,,[],OK
fin_earnings_smoothness,daily,,,,,[],OK
fin_equity_capital_growth,daily,,,,,[],OK
fin_expectation_dispersion,daily,,,,,[],OK
fin_expectation_revision,daily,,,,,[],OK
fin_expectation_revision_count,daily,,,,,[],OK
fin_expectation_revision_magnitude,daily,,,,,[],OK
fin_expectation_revision_pct,daily,,,,,[],OK
fin_expectation_revision_speed,daily,,,,,[],OK
fin_expense_sales_divergence,daily,,,,,[],OK
fin_fair_value_income_dependence,daily,,,,,[],OK
fin_financing_gap,daily,,,,,[],OK
fin_fundamental_strength_coverage,extended,,,,,[],OK
fin_fundamental_strength_score,daily,,,,,[],OK
fin_goodwill_intensity,daily,,,,,[],OK
fin_goodwill_risk_score,daily,,,,,[],OK
fin_growth,daily,,,,,[],OK
fin_growth_acceleration,daily,,,,,[],OK
fin_growth_change,daily,,,,,[],OK
fin_growth_persistence,daily,,,,,[],OK
fin_growth_stability,daily,,,,,[],OK
fin_growth_volatility,daily,,,,,[],OK
fin_impairment_intensity,daily,,,,,[],OK
fin_interest_coverage_proxy,daily,,,,,[],OK
fin_inventory_sales_divergence,daily,,,,,[],OK
fin_investment_income_dependence,daily,,,,,[],OK
fin_lag,daily,,,,,[],OK
fin_lease_asset_liability_gap,daily,,,,,[],OK
fin_lease_intensity,daily,,,,,[],OK
fin_log_change,daily,,,,,[],OK
fin_margin_persistence,daily,,,,,[],OK
fin_mean_abs_deviation,extended,,,,,[],OK
fin_median_abs_deviation,extended,,,,,[],OK
fin_minority_profit_share,daily,,,,,[],OK
fin_miss_streak,daily,,,,,[],OK
fin_monotonicity,daily,,,,,[],OK
fin_negative_streak,daily,,,,,[],OK
fin_net_borrowing_cashflow,daily,,,,,[],OK
fin_net_debt_issuance,daily,,,,,[],OK
fin_noncore_income_ratio,daily,,,,,[],OK
fin_oci_to_equity,daily,,,,,[],OK
fin_other_earnings_dependence,daily,,,,,[],OK
fin_pct_change,daily,,,,,[],OK
fin_percentile_history,daily,,,,,[],OK
fin_percentile_vs_prior_history,extended,,,,,[],OK
fin_period_restated,extended,,,,,[],OK
fin_period_revision_age,extended,,,,,[],OK
fin_period_revision_count,extended,,,,,[],OK
fin_positive_streak,daily,,,,,[],OK
fin_qoq,daily,,,,,[],OK
fin_quarter_from_cumulative,daily,,,,,[],OK
fin_range,daily,,,,,[],OK
fin_ratio,daily,,,,,[],OK
fin_rd_capitalization_ratio,daily,,,,,[],OK
fin_rd_total_intensity,daily,,,,,[],OK
fin_receivable_sales_divergence,daily,,,,,[],OK
fin_restated_flag,daily,,,,,[],OK
fin_revision_count,daily,,,,,[],OK
fin_revision_delta,daily,,,,,[],OK
fin_revision_direction,daily,,,,,[],OK
fin_revision_magnitude,daily,,,,,[],OK
fin_revision_pct,daily,,,,,[],OK
