date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2021-04-13,2.81198086,1.37193181,2.04965060,0.00268856,-0.00888543,0.01157399
2021-04-14,2.84811044,1.38164503,2.06139086,0.01284844,0.00707996,0.00576848
2021-04-15,2.87095448,1.37913944,2.08169994,0.00802077,-0.00181349,0.00983426
2021-04-16,2.88096395,1.38961977,2.07320304,0.00348646,0.00759919,-0.00411273
2021-04-19,2.97517065,1.42044828,2.09452938,0.03269972,0.02218485,0.01051487
2021-04-20,3.07128023,1.43478766,2.14058172,0.03230389,0.01009497,0.02220892
2021-04-21,3.03303377,1.42443863,2.12928357,-0.01245294,-0.00721293,-0.00524000
2021-04-22,3.08748272,1.43307615,2.15444428,0.01795198,0.00606381,0.01188817
2021-04-23,3.15702849,1.43476471,2.20038063,0.02252507,0.00117828,0.02134679
2021-04-26,3.20990774,1.44415019,2.22269662,0.01674969,0.00654147,0.01020822
2021-04-27,3.16105764,1.42040065,2.22546902,-0.01521853,-0.01644534,0.00122681
2021-04-28,3.22809699,1.42783566,2.26083231,0.02120789,0.00523444,0.01597344
2021-04-29,3.27176364,1.44342363,2.26666902,0.01352705,0.01091721,0.00260985
2021-04-30,3.29337647,1.43703765,2.29178162,0.00660586,-0.00442419,0.01103006
2021-05-06,3.29979526,1.43610338,2.29774214,0.00194900,-0.00065013,0.00259914
2021-05-07,3.27319849,1.43446853,2.28181965,-0.00806013,-0.00113839,-0.00692174
2021-05-10,3.26607036,1.42638313,2.28975672,-0.00217773,-0.00563651,0.00345879
2021-05-11,3.28294666,1.42174223,2.30910117,0.00516716,-0.00325361,0.00842077
2021-05-12,3.35889149,1.43420121,2.34199460,0.02313313,0.00876318,0.01436995
2021-05-13,3.36489946,1.42905251,2.35463669,0.00178868,-0.00358994,0.00537862
2021-05-14,3.42150260,1.44179184,2.37309056,0.01682164,0.00891453,0.00790711
2021-05-17,3.51431681,1.47275473,2.38622001,0.02712674,0.02147528,0.00565145
2021-05-18,3.51495435,1.47699626,2.37979908,0.00018141,0.00288000,-0.00269859
2021-05-19,3.51589954,1.47976205,2.37598981,0.00026891,0.00187257,-0.00160367
2021-05-20,3.53936417,1.47474737,2.39997998,0.00667386,-0.00338884,0.01006270
2021-05-21,3.52678071,1.47343814,2.39357229,-0.00355529,-0.00088776,-0.00266752
2021-05-24,3.53478257,1.47401892,2.39805781,0.00226889,0.00039416,0.00187472
2021-05-25,3.63661259,1.50070321,2.42327235,0.02880800,0.01810309,0.01070491
2021-05-26,3.70035273,1.51747071,2.43850026,0.01752734,0.01117310,0.00635424
2021-05-27,3.70361404,1.52431580,2.42968946,0.00088135,0.00451085,-0.00362950
2021-05-28,3.76647213,1.53798693,2.44896237,0.01697210,0.00896870,0.00800339
2021-05-31,3.83144738,1.54591445,2.47843430,0.01725096,0.00515447,0.01209649
2021-06-01,3.83876284,1.55157966,2.47409975,0.00190932,0.00366463,-0.00175531
2021-06-02,3.82503647,1.55052337,2.46693249,-0.00357573,-0.00068078,-0.00289495
2021-06-03,3.80049215,1.54711409,2.45650412,-0.00641675,-0.00219879,-0.00421797
2021-06-04,3.82385571,1.54497811,2.47502259,0.00614751,-0.00138063,0.00752814
2021-06-07,3.87850115,1.55929032,2.48735023,0.01429066,0.00926370,0.00502696
2021-06-08,3.89931287,1.55626118,2.50556457,0.00536592,-0.00194265,0.00730856
2021-06-09,3.91781994,1.55266633,2.52328518,0.00474624,-0.00230993,0.00705616
2021-06-10,3.99763010,1.56823502,2.54912691,0.02037107,0.01002707,0.01034399
2021-06-11,3.98854996,1.56244186,2.55276696,-0.00227138,-0.00369406,0.00142268
2021-06-15,3.98212275,1.54599945,2.57575950,-0.00161141,-0.01052354,0.00891212
2021-06-16,3.88512273,1.52552848,2.54673891,-0.02435887,-0.01324125,-0.01111762
2021-06-17,3.90695811,1.52463670,2.56255021,0.00562025,-0.00058457,0.00620482
2021-06-18,4.00999480,1.53715473,2.60871252,0.02637261,0.00821050,0.01816211
2021-06-21,4.05912501,1.54322257,2.63029137,0.01225194,0.00394745,0.00830449
2021-06-22,4.06823236,1.55039069,2.62400464,0.00224367,0.00464490,-0.00240123
2021-06-23,4.11455020,1.56949163,2.62158149,0.01138525,0.01232008,-0.00093483
2021-06-24,4.11944651,1.57271811,2.61931650,0.00119000,0.00205575,-0.00086575
2021-06-25,4.13809240,1.58336870,2.61347366,0.00452631,0.00677209,-0.00224578
2021-06-28,4.23209966,1.59631798,2.65116331,0.02271754,0.00817831,0.01453923
2021-06-29,4.25148455,1.58694844,2.67903130,0.00458044,-0.00586947,0.01044991
2021-06-30,4.31999519,1.59410831,2.70997596,0.01611452,0.00451172,0.01160281
2021-07-01,4.30688075,1.59210345,2.70515132,-0.00303575,-0.00125766,-0.00177809
