canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
hierarchical_group_neutralize,daily,False,False,False,False,False,False
high_low_spread_proxy,daily,False,False,False,False,False,False
holder_class_entropy,daily,False,False,False,False,False,False
holder_common_holding_peer_return,daily,False,False,False,False,False,False
holder_concentration,daily,False,False,False,False,False,False
holder_concentration_acceleration,daily,False,False,False,False,False,False
holder_concentration_change,research,False,False,False,False,False,False
holder_concentration_slope,daily,False,False,False,False,False,False
holder_count_change_rate,research,False,False,False,False,False,False
holder_entry_share,daily,False,False,False,False,False,False
holder_exit_share,daily,False,False,False,False,False,False
holder_float_concentration_gap,daily,False,False,False,False,False,False
holder_freeze_concentration,daily,False,False,False,False,False,False
holder_freeze_ratio,daily,False,False,False,False,False,False
holder_id_matched_churn,daily,False,False,False,False,False,False
holder_id_matched_entry_share,daily,False,False,False,False,False,False
holder_id_matched_exit_share,daily,False,False,False,False,False,False
holder_id_overlap_ratio,daily,False,False,False,False,False,False
holder_locked_share_ratio,daily,False,False,False,False,False,False
holder_nature_entropy,daily,False,False,False,False,False,False
holder_net_entry_share,daily,False,False,False,False,False,False
holder_peer_return_breadth,daily,False,False,False,False,False,False
holder_pledge_change,daily,False,False,False,False,False,False
holder_pledge_churn,daily,False,False,False,False,False,False
holder_pledge_concentration,daily,False,False,False,False,False,False
holder_pledge_ratio,daily,False,False,False,False,False,False
holder_pledged_holder_count,daily,False,False,False,False,False,False
holder_rank_stability,daily,False,False,False,False,False,False
holder_share_weighted_rank_migration,daily,False,False,False,False,False,False
holder_shareholder_network_centrality,daily,False,False,False,False,False,False
holder_shareholder_overlap_ratio,daily,False,False,False,False,False,False
holder_weighted_churn,daily,False,False,False,False,False,False
hump_decay,daily,False,False,False,False,False,False
ichimoku_cloud_position,daily,False,False,False,False,False,False
ichimoku_cloud_width,daily,False,False,False,False,False,False
ichimoku_kijun,daily,False,False,False,False,False,False
ichimoku_senkou_a,daily,False,False,False,False,False,False
ichimoku_senkou_b,daily,False,False,False,False,False,False
ichimoku_tenkan,daily,False,False,False,False,False,False
identity,internal,False,False,False,False,False,False
idio_skew,daily,False,False,False,False,False,False
idio_vol,daily,False,False,False,False,False,False
index_entry_exit_event,daily,False,False,False,False,False,False
index_event_decay,daily,False,False,False,False,False,False
index_member,daily,False,False,False,False,False,False
index_membership_age,daily,False,False,False,False,False,False
index_reconstitution_churn,daily,False,False,False,False,False,False
index_weight,daily,False,False,False,False,False,False
index_weight_change,daily,False,False,False,False,False,False
index_weight_gap_to_free_float,daily,False,False,False,False,False,False
industry_size_neutralize,daily,False,False,False,False,False,False
intra_abs_return_profile_cosine,daily,False,False,False,False,False,False
intra_amihud,daily,False,False,False,False,False,False
intra_amount_profile_cosine,daily,False,False,False,False,False,False
intra_amount_profile_jsd,daily,False,False,False,False,False,False
intra_bar_range_deviation,daily,False,False,False,False,False,False
intra_bar_range_persistence,daily,False,False,False,False,False,False
intra_beta_asymmetry,daily,False,False,False,False,False,False
intra_bipower_variation,daily,False,False,False,False,False,False
intra_close_participation,daily,False,False,False,False,False,False
intra_concentration,daily,False,False,False,False,False,False
intra_continuous_variance,daily,False,False,False,False,False,False
intra_down_down_semibeta,daily,False,False,False,False,False,False
intra_down_up_semibeta,daily,False,False,False,False,False,False
intra_drawdown_depth,daily,False,False,False,False,False,False
intra_drawdown_duration,daily,False,False,False,False,False,False
intra_drawdown_recovery_half_life,daily,False,False,False,False,False,False
intra_entropy,daily,False,False,False,False,False,False
intra_extreme_bar_return,daily,False,False,False,False,False,False
intra_high_low_affinity,daily,False,False,False,False,False,False
intra_high_time,daily,False,False,False,False,False,False
