canonical,model_family,category,source_file,surface,descriptive_or_predictive,fit_cutoff_offset,feature_cutoff,score_time,forecast_horizon,label_horizon,label_used,label_maturity_enforced,purge,embargo,scaler_scope,pca_scope,hyperparam_scope,filter_or_smoother,timing_contract_source,in_sample_looks_predictive
ts_har_from_return_forecast_error_z,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_har_from_return_next_vol,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_har_rv_forecast,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_har_rv_forecast_error_z,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_har_rv_innovation_z,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
ts_har_rv_next_var_forecast,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_har_rv_next_vol_forecast,garch,time_series_regression,cleaned_operators.ts_model.volatility,extended,predictive,1,1,0,1,,False,False,0,0,full,full,full,none,explicit,False
ts_hsic,kernel,dependence_ext,cleaned_operators.dependence_ext,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_huber_regression_coeff,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_huber_regression_coeff_prior,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,predictive,1,1,0,0,,False,False,0,0,train,train,train,none,generated,False
ts_huber_regression_forecast_error,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,generated,False
ts_huber_regression_forecast_error_z,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,generated,False
ts_huber_regression_in_sample_resid,regression,time_series_regression,cleaned_operators.regression_models,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_huber_regression_predictive_resid,regression,time_series_regression,cleaned_operators.regression_models,extended,predictive,1,1,0,0,,False,False,0,0,train,train,train,none,generated,False
ts_huber_regression_resid_z,regression,time_series_regression,cleaned_operators.ts_model.dynamic_regression,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hvg_assortativity,entropy,time_series_network,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hvg_clustering_coefficient,entropy,time_series_network,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hvg_degree_entropy,entropy,time_series_network,cleaned_operators.gemini_v2_common,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hvg_forward_backward_asymmetry,entropy,time_series_network,cleaned_operators.gemini_v2_common,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hvg_motif_entropy,rqa,time_series_network,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hysteresis_age,generic,time_series_state,cleaned_operators.alpha_language_state,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_hysteresis_state,state,time_series_state,cleaned_operators.alpha_language_state,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_kalman_beta,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,False
ts_kalman_beta_change,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,False
ts_kalman_beta_uncertainty,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,False
ts_kalman_innovation_z,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,True
ts_kalman_level,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,False
ts_kalman_trend,kalman,time_series_regression,cleaned_operators.ts_model.state_space,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,filter,explicit,False
ts_kernel_granger_score,kernel,research_nonlinear,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_km_diffusion_gradient,generic,state_dynamics,cleaned_operators.markov_dynamics,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_km_equilibrium_distance,generic,state_dynamics,cleaned_operators.markov_dynamics,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_km_quasipotential_depth,generic,state_dynamics,cleaned_operators.markov_dynamics,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_kramers_moyal_local_stability,generic,state_dynamics,cleaned_operators.markov_dynamics,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_level_shift_score,generic,time_series_regression,cleaned_operators.regression_models,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_lo_mackinlay_vr,generic,time_series_regression,cleaned_operators.regression_models,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_lo_mackinlay_z,generic,time_series_regression,cleaned_operators.regression_models,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_local_lyapunov_exponent,kernel,nonlinear_dynamics,cleaned_operators.local_lyapunov,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
ts_lz_complexity,generic,time_series_regression,cleaned_operators.ts_model.complexity,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
